title	major_group	minor_group	broad_group	detailed_occupation
Training and Development Managers (11-3131.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Training and Development Managers (11-3130)	Training and Development Managers (11-3131)
Farmers, Ranchers, and Other Agricultural Managers (11-9013.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Farmers, Ranchers, and Other Agricultural Managers (11-9010)	Farmers, Ranchers, and Other Agricultural Managers (11-9013)
Nursery and Greenhouse Managers (11-9013.01)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Farmers, Ranchers, and Other Agricultural Managers (11-9010)	Farmers, Ranchers, and Other Agricultural Managers (11-9013)
Farm and Ranch Managers (11-9013.02)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Farmers, Ranchers, and Other Agricultural Managers (11-9010)	Farmers, Ranchers, and Other Agricultural Managers (11-9013)
Aquacultural Managers (11-9013.03)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Farmers, Ranchers, and Other Agricultural Managers (11-9010)	Farmers, Ranchers, and Other Agricultural Managers (11-9013)
Construction Managers (11-9021.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Construction Managers (11-9020)	Construction Managers (11-9021)
Education Administrators, Preschool and Childcare Center/Program (11-9031.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Education Administrators (11-9030)	Education Administrators, Preschool and Childcare Center/Program (11-9031)
Education Administrators, Elementary and Secondary School (11-9032.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Education Administrators (11-9030)	Education Administrators, Elementary and Secondary School (11-9032)
Education Administrators, Postsecondary (11-9033.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Education Administrators (11-9030)	Education Administrators, Postsecondary (11-9033)
Education Administrators, All Other (11-9039.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Education Administrators (11-9030)	Education Administrators, All Other (11-9039)
Distance Learning Coordinators (11-9039.01)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Education Administrators (11-9030)	Education Administrators, All Other (11-9039)
Fitness and Wellness Coordinators (11-9039.02)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Education Administrators (11-9030)	Education Administrators, All Other (11-9039)
Architectural and Engineering Managers (11-9041.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Architectural and Engineering Managers (11-9040)	Architectural and Engineering Managers (11-9041)
Biofuels/Biodiesel Technology and Product Development Managers (11-9041.01)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Architectural and Engineering Managers (11-9040)	Architectural and Engineering Managers (11-9041)
Food Service Managers (11-9051.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Food Service Managers (11-9050)	Food Service Managers (11-9051)
Funeral Service Managers (11-9061.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Funeral Service Managers (11-9060)	Funeral Service Managers (11-9061)
Gaming Managers (11-9071.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Gaming Managers (11-9070)	Gaming Managers (11-9071)
Lodging Managers (11-9081.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Lodging Managers (11-9080)	Lodging Managers (11-9081)
Medical and Health Services Managers (11-9111.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Medical and Health Services Managers (11-9110)	Medical and Health Services Managers (11-9111)
Natural Sciences Managers (11-9121.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Natural Sciences Managers (11-9120)	Natural Sciences Managers (11-9121)
Clinical Research Coordinators (11-9121.01)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Natural Sciences Managers (11-9120)	Natural Sciences Managers (11-9121)
Water Resource Specialists (11-9121.02)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Natural Sciences Managers (11-9120)	Natural Sciences Managers (11-9121)
Postmasters and Mail Superintendents (11-9131.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Postmasters and Mail Superintendents (11-9130)	Postmasters and Mail Superintendents (11-9131)
Property, Real Estate, and Community Association Managers (11-9141.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Property, Real Estate, and Community Association Managers (11-9140)	Property, Real Estate, and Community Association Managers (11-9141)
Social and Community Service Managers (11-9151.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Social and Community Service Managers (11-9150)	Social and Community Service Managers (11-9151)
Emergency Management Directors (11-9161.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Emergency Management Directors (11-9160)	Emergency Management Directors (11-9161)
Managers, All Other (11-9199.00)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Regulatory Affairs Managers (11-9199.01)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Compliance Managers (11-9199.02)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Investment Fund Managers (11-9199.03)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Supply Chain Managers (11-9199.04)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Security Managers (11-9199.07)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Loss Prevention Managers (11-9199.08)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Wind Energy Operations Managers (11-9199.09)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Wind Energy Project Managers (11-9199.10)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Brownfield Redevelopment Specialists and Site Managers (11-9199.11)	Management Occupations (11-0000)	Other Management Occupations (11-9000)	Miscellaneous Managers (11-9190)	Managers, All Other (11-9199)
Agents and Business Managers of Artists, Performers, and Athletes (13-1011.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Agents and Business Managers of Artists, Performers, and Athletes (13-1010)	Agents and Business Managers of Artists, Performers, and Athletes (13-1011)
Buyers and Purchasing Agents, Farm Products (13-1021.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Buyers and Purchasing Agents (13-1020)	Buyers and Purchasing Agents, Farm Products (13-1021)
Wholesale and Retail Buyers, Except Farm Products (13-1022.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Buyers and Purchasing Agents (13-1020)	Wholesale and Retail Buyers, Except Farm Products (13-1022)
Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Buyers and Purchasing Agents (13-1020)	Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023)
Claims Adjusters, Examiners, and Investigators (13-1031.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Claims Adjusters, Appraisers, Examiners, and Investigators (13-1030)	Claims Adjusters, Examiners, and Investigators (13-1031)
Claims Examiners, Property and Casualty Insurance (13-1031.01)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Claims Adjusters, Appraisers, Examiners, and Investigators (13-1030)	Claims Adjusters, Examiners, and Investigators (13-1031)
Insurance Adjusters, Examiners, and Investigators (13-1031.02)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Claims Adjusters, Appraisers, Examiners, and Investigators (13-1030)	Claims Adjusters, Examiners, and Investigators (13-1031)
Insurance Appraisers, Auto Damage (13-1032.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Claims Adjusters, Appraisers, Examiners, and Investigators (13-1030)	Insurance Appraisers, Auto Damage (13-1032)
Compliance Officers (13-1041.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compliance Officers (13-1040)	Compliance Officers (13-1041)
Environmental Compliance Inspectors (13-1041.01)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compliance Officers (13-1040)	Compliance Officers (13-1041)
Licensing Examiners and Inspectors (13-1041.02)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compliance Officers (13-1040)	Compliance Officers (13-1041)
Equal Opportunity Representatives and Officers (13-1041.03)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compliance Officers (13-1040)	Compliance Officers (13-1041)
Government Property Inspectors and Investigators (13-1041.04)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compliance Officers (13-1040)	Compliance Officers (13-1041)
Coroners (13-1041.06)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compliance Officers (13-1040)	Compliance Officers (13-1041)
Regulatory Affairs Specialists (13-1041.07)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compliance Officers (13-1040)	Compliance Officers (13-1041)
Cost Estimators (13-1051.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Cost Estimators (13-1050)	Cost Estimators (13-1051)
Human Resources Specialists (13-1071.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Human Resources Workers (13-1070)	Human Resources Specialists (13-1071)
Farm Labor Contractors (13-1074.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Human Resources Workers (13-1070)	Farm Labor Contractors (13-1074)
Labor Relations Specialists (13-1075.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Human Resources Workers (13-1070)	Labor Relations Specialists (13-1075)
Logisticians (13-1081.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Logisticians (13-1080)	Logisticians (13-1081)
Logistics Engineers (13-1081.01)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Logisticians (13-1080)	Logisticians (13-1081)
Logistics Analysts (13-1081.02)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Logisticians (13-1080)	Logisticians (13-1081)
Management Analysts (13-1111.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Management Analysts (13-1110)	Management Analysts (13-1111)
Meeting, Convention, and Event Planners (13-1121.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Meeting, Convention, and Event Planners (13-1120)	Meeting, Convention, and Event Planners (13-1121)
Fundraisers (13-1131.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Fundraisers (13-1130)	Fundraisers (13-1131)
Compensation, Benefits, and Job Analysis Specialists (13-1141.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Compensation, Benefits, and Job Analysis Specialists (13-1140)	Compensation, Benefits, and Job Analysis Specialists (13-1141)
Training and Development Specialists (13-1151.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Training and Development Specialists (13-1150)	Training and Development Specialists (13-1151)
Market Research Analysts and Marketing Specialists (13-1161.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Market Research Analysts and Marketing Specialists (13-1160)	Market Research Analysts and Marketing Specialists (13-1161)
Business Operations Specialists, All Other (13-1199.00)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Miscellaneous Business Operations Specialists (13-1190)	Business Operations Specialists, All Other (13-1199)
Energy Auditors (13-1199.01)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Miscellaneous Business Operations Specialists (13-1190)	Business Operations Specialists, All Other (13-1199)
Security Management Specialists (13-1199.02)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Miscellaneous Business Operations Specialists (13-1190)	Business Operations Specialists, All Other (13-1199)
Customs Brokers (13-1199.03)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Miscellaneous Business Operations Specialists (13-1190)	Business Operations Specialists, All Other (13-1199)
Business Continuity Planners (13-1199.04)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Miscellaneous Business Operations Specialists (13-1190)	Business Operations Specialists, All Other (13-1199)
Sustainability Specialists (13-1199.05)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Miscellaneous Business Operations Specialists (13-1190)	Business Operations Specialists, All Other (13-1199)
Online Merchants (13-1199.06)	Business and Financial Operations Occupations (13-0000)	Business Operations Specialists (13-1000)	Miscellaneous Business Operations Specialists (13-1190)	Business Operations Specialists, All Other (13-1199)
Accountants and Auditors (13-2011.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Accountants and Auditors (13-2010)	Accountants and Auditors (13-2011)
Accountants (13-2011.01)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Accountants and Auditors (13-2010)	Accountants and Auditors (13-2011)
Auditors (13-2011.02)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Accountants and Auditors (13-2010)	Accountants and Auditors (13-2011)
Appraisers and Assessors of Real Estate (13-2021.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Appraisers and Assessors of Real Estate (13-2020)	Appraisers and Assessors of Real Estate (13-2021)
Assessors (13-2021.01)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Appraisers and Assessors of Real Estate (13-2020)	Appraisers and Assessors of Real Estate (13-2021)
Appraisers, Real Estate (13-2021.02)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Appraisers and Assessors of Real Estate (13-2020)	Appraisers and Assessors of Real Estate (13-2021)
Budget Analysts (13-2031.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Budget Analysts (13-2030)	Budget Analysts (13-2031)
Credit Analysts (13-2041.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Credit Analysts (13-2040)	Credit Analysts (13-2041)
Financial Analysts (13-2051.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Financial Analysts and Advisors (13-2050)	Financial Analysts (13-2051)
Personal Financial Advisors (13-2052.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Financial Analysts and Advisors (13-2050)	Personal Financial Advisors (13-2052)
Insurance Underwriters (13-2053.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Financial Analysts and Advisors (13-2050)	Insurance Underwriters (13-2053)
Financial Examiners (13-2061.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Financial Examiners (13-2060)	Financial Examiners (13-2061)
Credit Counselors (13-2071.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Credit Counselors and Loan Officers (13-2070)	Credit Counselors (13-2071)
Loan Counselors (13-2071.01)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Credit Counselors and Loan Officers (13-2070)	Credit Counselors (13-2071)
Loan Officers (13-2072.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Credit Counselors and Loan Officers (13-2070)	Loan Officers (13-2072)
Tax Examiners and Collectors, and Revenue Agents (13-2081.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Tax Examiners, Collectors and Preparers, and Revenue Agents (13-2080)	Tax Examiners and Collectors, and Revenue Agents (13-2081)
Tax Preparers (13-2082.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Tax Examiners, Collectors and Preparers, and Revenue Agents (13-2080)	Tax Preparers (13-2082)
Financial Specialists, All Other (13-2099.00)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Miscellaneous Financial Specialists (13-2090)	Financial Specialists, All Other (13-2099)
Financial Quantitative Analysts (13-2099.01)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Miscellaneous Financial Specialists (13-2090)	Financial Specialists, All Other (13-2099)
Risk Management Specialists (13-2099.02)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Miscellaneous Financial Specialists (13-2090)	Financial Specialists, All Other (13-2099)
Investment Underwriters (13-2099.03)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Miscellaneous Financial Specialists (13-2090)	Financial Specialists, All Other (13-2099)
Fraud Examiners, Investigators and Analysts (13-2099.04)	Business and Financial Operations Occupations (13-0000)	Financial Specialists (13-2000)	Miscellaneous Financial Specialists (13-2090)	Financial Specialists, All Other (13-2099)
Computer and Information Research Scientists (15-1111.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Computer and Information Research Scientists (15-1110)	Computer and Information Research Scientists (15-1111)
Computer Systems Analysts (15-1121.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Computer and Information Analysts (15-1120)	Computer Systems Analysts (15-1121)
Informatics Nurse Specialists (15-1121.01)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Computer and Information Analysts (15-1120)	Computer Systems Analysts (15-1121)
Information Security Analysts (15-1122.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Computer and Information Analysts (15-1120)	Information Security Analysts (15-1122)
Computer Programmers (15-1131.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Software Developers and Programmers (15-1130)	Computer Programmers (15-1131)
Software Developers, Applications (15-1132.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Software Developers and Programmers (15-1130)	Software Developers, Applications (15-1132)
Software Developers, Systems Software (15-1133.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Software Developers and Programmers (15-1130)	Software Developers, Systems Software (15-1133)
Web Developers (15-1134.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Software Developers and Programmers (15-1130)	Web Developers (15-1134)
Database Administrators (15-1141.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Database and Systems Administrators and Network Architects (15-1140)	Database Administrators (15-1141)
Network and Computer Systems Administrators (15-1142.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Database and Systems Administrators and Network Architects (15-1140)	Network and Computer Systems Administrators (15-1142)
Computer Network Architects (15-1143.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Database and Systems Administrators and Network Architects (15-1140)	Computer Network Architects (15-1143)
Telecommunications Engineering Specialists (15-1143.01)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Database and Systems Administrators and Network Architects (15-1140)	Computer Network Architects (15-1143)
Computer User Support Specialists (15-1151.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Computer Support Specialists (15-1150)	Computer User Support Specialists (15-1151)
Computer Network Support Specialists (15-1152.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Computer Support Specialists (15-1150)	Computer Network Support Specialists (15-1152)
Computer Occupations, All Other (15-1199.00)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Software Quality Assurance Engineers and Testers (15-1199.01)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Computer Systems Engineers/Architects (15-1199.02)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Web Administrators (15-1199.03)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Geospatial Information Scientists and Technologists (15-1199.04)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Geographic Information Systems Technicians (15-1199.05)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Database Architects (15-1199.06)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Data Warehousing Specialists (15-1199.07)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Business Intelligence Analysts (15-1199.08)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Information Technology Project Managers (15-1199.09)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Search Marketing Strategists (15-1199.10)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Video Game Designers (15-1199.11)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Document Management Specialists (15-1199.12)	Computer and Mathematical Occupations (15-0000)	Computer Occupations (15-1100)	Miscellaneous Computer Occupations (15-1190)	Computer Occupations, All Other (15-1199)
Actuaries (15-2011.00)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Actuaries (15-2010)	Actuaries (15-2011)
Mathematicians (15-2021.00)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Mathematicians (15-2020)	Mathematicians (15-2021)
Operations Research Analysts (15-2031.00)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Operations Research Analysts (15-2030)	Operations Research Analysts (15-2031)
Statisticians (15-2041.00)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Statisticians (15-2040)	Statisticians (15-2041)
Biostatisticians (15-2041.01)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Statisticians (15-2040)	Statisticians (15-2041)
Clinical Data Managers (15-2041.02)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Statisticians (15-2040)	Statisticians (15-2041)
Mathematical Technicians (15-2091.00)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Miscellaneous Mathematical Science Occupations (15-2090)	Mathematical Technicians (15-2091)
Mathematical Science Occupations, All Other (15-2099.00)	Computer and Mathematical Occupations (15-0000)	Mathematical Science Occupations (15-2000)	Miscellaneous Mathematical Science Occupations (15-2090)	Mathematical Science Occupations, All Other (15-2099)
